item_a,kind_a,item_b,kind_b,similarity
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\1df983bc51d320c5bdd30f3677bd73759d514f3513fc275cf0a5b526d030d73b.jpg,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_61.jpg,image,0.729049563407898
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\1df983bc51d320c5bdd30f3677bd73759d514f3513fc275cf0a5b526d030d73b.jpg,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_50.jpg,image,0.6934287548065186
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\1df983bc51d320c5bdd30f3677bd73759d514f3513fc275cf0a5b526d030d73b.jpg,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_66.jpg,image,0.6392830610275269
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\1df983bc51d320c5bdd30f3677bd73759d514f3513fc275cf0a5b526d030d73b.jpg,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_56.jpg,image,0.6370069980621338
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\1df983bc51d320c5bdd30f3677bd73759d514f3513fc275cf0a5b526d030d73b.jpg,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_90.jpg,image,0.627241849899292
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\4563edc2eaead41b372e3bfc36586b7496c62b0dc4d6a8a9b5377de62926255b.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_10.jpg,image,0.8176484107971191
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\4563edc2eaead41b372e3bfc36586b7496c62b0dc4d6a8a9b5377de62926255b.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_6.jpg,image,0.8025119304656982
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\4563edc2eaead41b372e3bfc36586b7496c62b0dc4d6a8a9b5377de62926255b.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_54.jpg,image,0.8023108839988708
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\4563edc2eaead41b372e3bfc36586b7496c62b0dc4d6a8a9b5377de62926255b.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_84.jpg,image,0.7880798578262329
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\4563edc2eaead41b372e3bfc36586b7496c62b0dc4d6a8a9b5377de62926255b.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\eaf6aff9e7034c76da13484f7c9eb74f783e724b375d9bc99c62b1f5dd8424cd.jpg,image,0.772391676902771
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\547af5fc702993993b3ccabd789c598734f3c9f3244f0b21e276168e9cd55e02.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_85.jpg,image,0.9234942197799683
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\547af5fc702993993b3ccabd789c598734f3c9f3244f0b21e276168e9cd55e02.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_37.jpg,image,0.8740972280502319
C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\547af5fc702993993b3ccabd789c598734f3c9f3244f0b21e276168e9cd55e02.png,image,C:\Users\ZhanYi\PycharmProjects\AiCustomer\ocr_test\img\image_65.jpg,image,0.8641051650047302
